host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
t,Leonidas,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,67.0,1,365,2,23,34,177,474,4.89,4.95,4.88,4.97,4.97,4.67,4.91,t
t,Marigny,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,129.0,5,120,0,0,0,0,263,4.96,4.95,4.97,5.0,4.98,4.93,4.9,f
t,Bywater,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,130.0,3,1125,16,38,68,327,242,4.94,4.91,4.96,4.97,4.98,4.8,4.9,f
t,St. Roch,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,98.0,3,1125,13,28,52,279,515,4.9,4.92,4.96,4.92,4.96,4.64,4.85,f
t,Seventh Ward,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,72.0,3,29,0,0,0,54,519,4.86,4.92,4.94,4.98,4.97,4.43,4.85,f
t,Marlyville - Fontainbleau,Private room in guest suite,Private room,2,1 private bath,1.0,4.0,89.0,3,7,23,53,83,353,38,4.77,4.87,4.21,4.89,4.95,4.68,4.66,f
t,St. Claude,Entire guest suite,Entire home/apt,4,1 bath,2.0,2.0,105.0,3,90,9,19,36,236,400,4.95,4.94,4.98,4.98,4.98,4.82,4.93,t
t,Marigny,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,75.0,1,30,5,13,42,42,766,4.79,4.83,4.74,4.92,4.89,4.69,4.8,t
f,Central City,Room in boutique hotel,Private room,4,1 private bath,1.0,2.0,347.0,2,1125,30,60,90,365,5,3.67,4.5,5.0,3.75,4.25,4.75,3.75,f
t,Marigny,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,125.0,3,30,4,18,45,278,414,4.94,4.94,4.94,4.94,4.95,4.98,4.89,t
f,Mid-City,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,110.0,30,365,0,0,30,305,141,4.93,4.96,4.92,4.99,4.97,4.9,4.95,f
t,Bywater,Private room in residential home,Private room,1,1 private bath,1.0,1.0,70.0,4,15,0,0,4,4,109,4.91,4.88,4.9,4.91,4.87,4.38,4.86,f
t,St. Claude,Entire residential home,Entire home/apt,4,1 bath,2.0,2.0,95.0,2,365,4,7,11,181,412,4.83,4.87,4.63,4.93,4.96,4.84,4.87,t
t,Marigny,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,79.0,1,30,6,26,51,51,720,4.82,4.83,4.75,4.91,4.88,4.63,4.81,t
f,Fillmore,Private room in residential home,Private room,4,1 shared bath,2.0,2.0,199.0,2,730,29,59,89,364,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
f,Treme - Lafitte,Entire rental unit,Entire home/apt,4,2.5 baths,2.0,2.0,200.0,3,365,0,0,0,0,196,4.65,4.78,4.74,4.84,4.76,4.44,4.64,f
f,Treme - Lafitte,Entire townhouse,Entire home/apt,4,2.5 baths,2.0,2.0,210.0,3,365,25,52,79,157,279,4.84,4.93,4.88,4.86,4.73,4.47,4.82,f
t,City Park,Entire residential home,Entire home/apt,6,1 bath,3.0,3.0,327.0,2,1125,0,0,0,98,209,4.91,4.92,4.72,4.98,4.94,4.86,4.83,f
f,Marigny,Entire bungalow,Entire home/apt,6,3 baths,3.0,4.0,425.0,2,365,10,33,62,126,78,4.82,4.88,4.68,4.95,4.97,4.97,4.77,f
t,St. Roch,Entire townhouse,Entire home/apt,3,1 bath,1.0,2.0,95.0,3,365,10,22,50,297,499,4.89,4.92,4.94,4.93,4.94,4.59,4.86,f
t,Fairgrounds,Private room in residential home,Private room,4,1 private bath,2.0,2.0,90.0,2,365,0,0,0,204,142,4.86,4.83,4.87,4.91,4.95,4.46,4.8,f
f,Treme - Lafitte,Entire residential home,Entire home/apt,5,1 bath,2.0,3.0,175.0,2,30,17,47,77,253,117,4.73,4.77,4.77,4.84,4.87,4.48,4.56,t
t,Irish Channel,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,87.0,3,6,1,1,1,1,178,4.91,4.91,4.94,4.98,4.95,4.88,4.86,f
f,Marigny,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,175.0,30,60,29,59,89,364,80,4.78,4.75,4.44,4.96,4.99,5.0,4.57,f
t,Whitney,Entire residential home,Entire home/apt,6,1 bath,2.0,2.0,70.0,30,180,0,9,33,308,11,5.0,4.91,4.91,5.0,4.91,4.64,4.91,f
t,Bywater,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,140.0,3,1125,12,27,57,68,472,4.86,4.87,4.85,4.92,4.93,4.81,4.75,t
f,East Riverside,Entire cottage,Entire home/apt,2,1 bath,1.0,1.0,65.0,30,360,17,20,40,208,127,4.78,4.84,4.64,4.86,4.81,4.81,4.73,f
t,Marigny,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,136.0,3,1125,17,37,66,300,364,4.83,4.92,4.72,4.98,4.97,4.92,4.8,f
t,Fairgrounds,Private room in residential home,Private room,2,1 private bath,1.0,1.0,104.0,2,1125,18,37,67,315,42,4.85,4.83,4.9,4.98,4.86,4.57,4.71,f
t,Treme - Lafitte,Entire rental unit,Entire home/apt,6,3 baths,3.0,6.0,480.0,1,60,7,34,61,150,118,4.75,4.76,4.75,4.94,4.93,4.64,4.64,t
t,St. Thomas Dev,Entire residential home,Entire home/apt,6,1 bath,2.0,3.0,120.0,30,60,11,41,71,251,169,4.81,4.82,4.8,4.95,4.96,4.54,4.79,f
f,Bayou St. John,Entire guesthouse,Entire home/apt,7,1 bath,3.0,4.0,143.0,1,1125,15,42,42,246,36,4.69,4.66,4.66,4.94,4.91,4.89,4.77,f
f,Fairgrounds,Entire residential home,Entire home/apt,16,3 baths,6.0,10.0,707.0,30,1125,30,60,90,365,146,4.73,4.82,4.85,4.7,4.84,4.43,4.6,f
f,Audubon,Entire residential home,Entire home/apt,14,3 baths,4.0,10.0,543.0,30,120,28,58,88,201,35,4.66,4.76,4.59,4.74,4.62,4.88,4.53,t
t,Bywater,Entire guest suite,Entire home/apt,2,1 bath,1.0,2.0,89.0,3,90,4,7,24,24,530,4.85,4.87,4.77,4.92,4.91,4.94,4.82,f
f,French Quarter,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,150.0,30,365,29,59,89,364,226,4.73,4.85,4.64,4.96,4.93,4.84,4.71,t
f,Leonidas,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,99.0,30,45,0,24,54,297,89,4.8,4.83,4.82,4.98,4.96,4.91,4.74,f
f,Central City,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,257.0,2,30,30,60,90,359,5,4.6,3.8,5.0,4.8,4.8,4.8,4.4,f
