,price
2025,77.0
1436,114.0
5452,50.0
1222,54.0
5534,35.0
5762,137.0
1632,69.0
5219,112.0
2418,142.0
3260,353.0
5441,282.0
5873,157.0
5465,46.0
1699,157.0
4591,144.0
1694,66.0
1410,119.0
2323,272.0
3651,47.0
2024,108.0
2104,90.0
1126,232.0
5858,210.0
2503,99.0
3612,185.0
304,241.0
5080,150.0
1292,171.0
70,65.0
1921,69.0
1305,91.0
2996,113.0
3377,300.0
831,191.0
2215,188.0
1456,99.0
1844,144.0
3264,99.0
238,87.0
92,250.0
5398,97.0
4767,177.0
3047,113.0
2409,109.0
2619,142.0
1769,90.0
3458,125.0
5612,158.0
4718,261.0
2292,79.0
3307,159.0
1504,172.0
957,81.0
4196,296.0
1532,106.0
4814,75.0
411,77.0
1405,204.0
1964,192.0
5784,148.0
4073,145.0
4479,154.0
3334,124.0
4764,329.0
1034,125.0
4216,143.0
2655,122.0
2318,91.0
931,100.0
3347,120.0
633,150.0
4513,99.0
498,161.0
937,144.0
415,266.0
4532,168.0
4854,250.0
2402,199.0
757,250.0
3200,373.0
1041,68.0
3121,195.0
596,200.0
2213,304.0
1068,61.0
3245,359.0
652,80.0
4828,64.0
5218,47.0
4975,249.0
3648,101.0
4753,260.0
75,286.0
3686,146.0
2945,99.0
5072,217.0
3077,307.0
2860,82.0
2498,93.0
1010,71.0
1029,73.0
828,154.0
2722,99.0
2905,125.0
96,406.0
4086,440.0
1200,100.0
621,178.0
5476,274.0
1412,131.0
543,130.0
1334,126.0
5502,115.0
51,62.0
5065,286.0
1770,293.0
2521,110.0
745,55.0
2022,95.0
1467,295.0
1973,75.0
195,155.0
3276,142.0
3799,225.0
802,303.0
1618,165.0
3285,129.0
4190,271.0
620,84.0
3667,325.0
5908,78.0
5169,82.0
4614,221.0
644,84.0
5107,50.0
4168,399.0
120,450.0
2932,99.0
3774,151.0
4140,219.0
4856,81.0
1230,79.0
2776,304.0
3487,42.0
2346,126.0
3254,159.0
4019,341.0
134,50.0
4925,15.0
5106,119.0
2232,75.0
511,143.0
6012,105.0
62,109.0
3790,63.0
2505,144.0
2388,149.0
5515,153.0
679,70.0
3706,99.0
1211,340.0
3196,200.0
1918,84.0
3194,149.0
1210,70.0
567,131.0
5977,135.0
548,109.0
864,128.0
5945,318.0
4516,142.0
3690,106.0
4449,387.0
5347,55.0
720,450.0
3857,325.0
690,350.0
602,163.0
4809,192.0
4702,116.0
2228,207.0
4381,80.0
503,78.0
318,98.0
1860,200.0
2351,444.0
5174,411.0
1825,100.0
2380,190.0
2182,133.0
4953,258.0
5150,259.0
